"10","1","1","0","2.36"
"10","1","1","1","3.38"
"10","2","1","0","1.18"
"10","2","1","1","1.69"
"10","3","1","0","1.18"
"10","3","1","1","1.69"
"10","4","1","0","1.18"
"10","4","1","1","1.69"
"20","1","1","0","2.94"
"20","1","1","1","4.20"
"20","2","1","0","1.47"
"20","2","1","1","2.10"
"20","3","1","0","1.47"
"20","3","1","1","2.10"
"20","4","1","0","1.47"
"20","4","1","1","2.10"
"35","1","1","0","3.37"
"35","1","1","1","4.82"
"35","2","1","0","1.68"
"35","2","1","1","2.41"
"35","3","1","0","1.68"
"35","3","1","1","2.41"
"35","4","1","0","1.68"
"35","4","1","1","2.41"
"65","1","1","0","4.52"
"65","1","1","1","6.46"
"65","2","1","0","2.26"
"65","2","1","1","3.23"
"65","3","1","0","2.26"
"65","3","1","1","3.23"
"65","4","1","0","2.26"
"65","4","1","1","2.50"
"66","1","1","0","5.81"
"66","1","1","1","8.30"
"66","2","1","0","2.90"
"66","2","1","1","4.15"
"66","3","1","0","2.90"
"66","3","1","1","4.15"
"66","4","1","0","2.50"
"66","4","1","1","2.50"
"3","1","2","0","2.10"
"3","1","2","1","2.10"
"3","2","2","0","1.05"
"3","2","2","1","1.05"
"3","3","2","0","1.05"
"3","3","2","1","1.05"
"3","4","2","0","1.05"
"3","5","2","1","1.05"
"8","1","2","0","3.50"
"8","1","2","1","3.50"
"8","2","2","0","1.75"
"8","2","2","1","1.75"
"8","3","2","0","1.75"
"8","3","2","1","1.75"
"8","4","2","0","1.75"
"8","5","2","1","1.75"
"9","1","2","0","4.50"
"9","1","2","1","4.50"
"9","2","2","0","3.59"
"9","2","2","1","3.59"
"9","3","2","0","3.59"
"9","3","2","1","3.59"
"9","4","2","0","2.50"
"9","5","2","1","2.50"
"9","1","3","0","5.74"
"9","1","3","1","5.74"
"9","2","3","0","2.87"
"9","2","3","1","2.87"
"9","3","3","0","2.87"
"9","3","3","1","2.87"
"9","4","3","0","2.50"
"9","5","3","1","2.50"
"10","1","3","0","7.18"
"10","1","3","1","7.18"
"10","2","3","0","3.59"
"10","2","3","1","3.59"
"10","3","3","0","3.59"
"10","3","3","1","3.59"
"10","4","3","0","2.50"
"10","5","3","1","2.50"
"3","1","4","0","2.10"
"3","1","4","1","2.10"
"3","2","4","0","1.05"
"3","2","4","1","1.05"
"3","3","4","0","1.05"
"3","3","4","1","1.05"
"3","4","4","0","1.05"
"3","5","4","1","1.05"
"8","1","4","0","3.50"
"8","1","4","1","3.50"
"8","2","4","0","1.75"
"8","2","4","1","1.75"
"8","3","4","0","1.75"
"8","3","4","1","1.75"
"8","4","4","0","1.75"
"8","5","4","1","1.75"
